e:joy >>> 😀 ,😀
e:tears_of_joy >>> 😂 ,😂
e:heart_eyes >>> 😍 ,😍
e:sunglasses >>> 😎 ,😎
e:winking >>> 😉 ,😉
e:smile >>> 🙂 ,🙂
e:sad >>> 😔 ,😔
e:cry >>> 😢 ,😢
e:big_crying >>> 😭 ,😭
e:angry >>> 😠 ,😠
e:astonished >>> 😲 ,😲
e:thinking >>> 🤔 ,🤔
e:face_exhaling >>> 😮‍💨 ,😮‍💨
e:face_in_clouds >>> 😶‍🌫️ ,😶‍🌫️
e:face_with_spiral_eyes >>> 😵‍💫 ,😵‍💫
e:face_holding_back_tears >>> 😢 ,😢
e:saluting_face >>> 🫡 ,🫡
e:dotted_line_face >>> 🫥 ,🫥
e:diagonal_mouth >>> 😏 ,😏
e:face_with_peeking_eye >>> 🫣 ,🫣
e:shushing_face >>> 🤫 ,🤫
e:thinking_face >>> 🤔 ,🤔
e:face_with_raised_eyebrow >>> 🤨 ,🤨
e:neutral_face >>> 😐 ,😐
e:no_mouth_face >>> 😶 ,😶
e:smirking_face >>> 😏 ,😏
e:unamused_face >>> 😒 ,😒
e:rolling_eyes_face >>> 🙄 ,🙄
e:grimacing_face >>> 😬 ,😬
e:lying_face >>> 🤥 ,🤥
e:relieved_face >>> 😌 ,😌
e:pensive_face >>> 😔 ,😔
e:sleepy_face >>> 😪 ,😪
e:drooling_face >>> 🤤 ,🤤
e:sleeping_face >>> 😴 ,😴
e:hug >>> 🤗 ,🤗
e:clap >>> 👏 ,👏
e:wave >>> 👋 ,👋
e:thumbs_up >>> 👍 ,👍
e:thumbs_down >>> 👎 ,👎
e:prayer_hands >>> 🙏 ,🙏
e:facepalm >>> 🤦 ,🤦
e:shrug >>> 🤷 ,🤷
e:heart >>> 💖 ,💖
e:broken_heart >>> 💔 ,💔
e:star_eyes >>> 🤩 ,🤩
e:fire >>> 🔥 ,🔥
e:poop >>> 💩 ,💩
e:alien >>> 👽 ,👽
e:robot >>> 🤖 ,🤖
e:ghost >>> 👻 ,👻
e:skull >>> 💀 ,💀
e:pumpkin >>> 🎃 ,🎃
e:christmas_tree >>> 🎄 ,🎄
e:sparkles >>> ✨ ,✨
e:game >>> 🕹️ ,🕹️
e:balloon >>> 🎈 ,🎈
e:party_popper >>> 🎉 ,🎉
e:check_mark >>> ✔️ ,✔️
e:cross_mark >>> ❌ ,❌
e:question_mark >>> ❓ ,❓
e:exclamation_mark >>> ❗ ,❗
e:light_bulb >>> 💡 ,💡
e:money_bag >>> 💰 ,💰
e:dollar_sign >>> 💲 ,💲
e:watch >>> ⌚ ,⌚
e:hourglass >>> ⏳ ,⏳
e:alarm_clock >>> ⏰ ,⏰
e:calendar >>> 📅 ,📅
e:envelope >>> ✉️ ,✉️
e:pencil >>> ✏️ ,✏️
e:camera >>> 📷 ,📷
e:mobile_phone >>> 📱 ,📱
e:laptop >>> 💻 ,💻
e:headphone >>> 🎧 ,🎧
e:football >>> ⚽ ,⚽
e:basketball >>> 🏀 ,🏀
e:baseball >>> ⚾ ,⚾
e:tennis >>> 🎾 ,🎾
e:golf >>> ⛳ ,⛳
e:trophy >>> 🏆 ,🏆
e:bicycle >>> 🚲 ,🚲
e:car >>> 🚗 ,🚗
e:airplane >>> ✈️ ,✈️
e:rocket >>> 🚀 ,🚀
e:globe >>> 🌍 ,🌍
e:moon >>> 🌜 ,🌜
e:sun >>> ☀️ ,☀️
e:rain_cloud >>> 🌧️ ,🌧️
e:snowman >>> ⛄ ,⛄
e:umbrella >>> ☂️ ,☂️
e:face_with_monocle >>> 🧐 ,🧐
e:nerd_face >>> 🤓 ,🤓
e:face_with_rolling_eyes >>> 🙄 ,🙄
e:zipper_mouth_face >>> 🤐 ,🤐
e:face_with_thermometer >>> 🤒 ,🤒
e:face_with_head_bandage >>> 🤕 ,🤕
e:nauseated_face >>> 🤢 ,🤢
e:face_vomiting >>> 🤮 ,🤮
e:sneezing_face >>> 🤧 ,🤧
e:hot_face >>> 🥵 ,🥵
e:cold_face >>> 🥶 ,🥶
e:woozy_face >>> 🥴 ,🥴
e:dizzy_face >>> 😵 ,😵
e:exploding_head >>> 🤯 ,🤯
e:cowboy_hat_face >>> 🤠 ,🤠
e:partying_face >>> 🥳 ,🥳
e:smiling_face_with_3_hearts >>> 🥰 ,🥰
e:yawning_face >>> 🥱 ,🥱
e:pinching_hand >>> 🤏 ,🤏
e:vulcan_salute >>> 🖖 ,🖖
e:love_you_gesture >>> 🤟 ,🤟
e:palms_up_together >>> 🤲 ,🤲
e:handshake >>> 🤝 ,🤝
e:nail_care >>> 💅 ,💅
e:selfie >>> 🤳 ,🤳
e:eyes >>> 👀 ,👀
e:brain >>> 🧠 ,🧠
e:butterfly >>> 🦋 ,🦋
e:cat_face >>> 😺 ,😺
e:dog_face >>> 🐶 ,🐶
e:fox_face >>> 🦊 ,🦊
e:unicorn_face >>> 🦄 ,🦄
e:tiger_face >>> 🐯 ,🐯
e:lion_face >>> 🦁 ,🦁
e:peacock >>> 🦚 ,🦚
e:grapes >>> 🍇 ,🍇
e:melon >>> 🍈 ,🍈
e:watermelon >>> 🍉 ,🍉
e:tangerine >>> 🍊 ,🍊
e:lemon >>> 🍋 ,🍋
e:banana >>> 🍌 ,🍌
e:pineapple >>> 🍍 ,🍍
e:mango >>> 🥭 ,🥭
e:apple >>> 🍎 ,🍎
